            sIP|            dIP|     packets|          bytes|                     sTime|                     eTime|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:44:48.866000|2015/06/02T13:44:48.878000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:44:55.433000|2015/06/02T13:44:55.444000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:39:51.983000|2015/06/02T13:39:51.983000|
     10.0.40.20| 192.168.121.57|          15|           6512|2015/06/02T13:44:56.932000|2015/06/02T13:44:56.979000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:44:56.980000|2015/06/02T13:44:56.980000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:45:07.397000|2015/06/02T13:45:07.409000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:40:02.859000|2015/06/02T13:40:02.859000|
     10.0.40.20|192.168.121.145|          11|           1634|2015/06/02T13:45:24.481000|2015/06/02T13:45:24.528000|
     10.0.40.20|192.168.121.145|           1|             40|2015/06/02T13:45:24.529000|2015/06/02T13:45:24.529000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:45:34.947000|2015/06/02T13:45:34.996000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:40:31.912000|2015/06/02T13:40:31.912000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:40:44.877000|2015/06/02T13:40:44.877000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:40:44.976000|2015/06/02T13:40:44.976000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:45:49.377000|2015/06/02T13:45:49.389000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:45:49.877000|2015/06/02T13:45:49.888000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:45:56.429000|2015/06/02T13:45:56.440000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:40:52.443000|2015/06/02T13:40:52.443000|
     10.0.40.21|192.168.121.244|          11|           2208|2015/06/02T13:45:58.654000|2015/06/02T13:45:58.680000|
     10.0.40.21|192.168.121.244|           1|             40|2015/06/02T13:45:58.680000|2015/06/02T13:45:58.680000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:41:03.410000|2015/06/02T13:41:03.410000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:46:08.394000|2015/06/02T13:46:08.405000|
     10.0.40.21|192.168.121.158|           9|           2128|2015/06/02T13:46:28.622000|2015/06/02T13:46:28.642000|
     10.0.40.21|192.168.121.158|           1|             40|2015/06/02T13:46:28.642000|2015/06/02T13:46:28.642000|
     10.0.40.21|192.168.121.158|           1|             40|2015/06/02T13:46:28.642000|2015/06/02T13:46:28.642000|
     10.0.40.21|192.168.121.158|           1|             40|2015/06/02T13:46:28.642000|2015/06/02T13:46:28.642000|
  192.168.40.20|192.168.121.158|           7|            877|2015/06/02T13:46:31.452000|2015/06/02T13:46:31.482000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:46:35.772000|2015/06/02T13:46:35.783000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:41:32.787000|2015/06/02T13:41:32.787000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:46:50.188000|2015/06/02T13:46:50.199000|
     10.0.40.53| 192.168.121.57|           8|            368|2015/06/02T13:46:50.374000|2015/06/02T13:46:50.384000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:46:57.425000|2015/06/02T13:46:57.438000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:41:45.389000|2015/06/02T13:41:45.389000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:41:45.888000|2015/06/02T13:41:45.888000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:41:53.440000|2015/06/02T13:41:53.440000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:47:09.390000|2015/06/02T13:47:09.403000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:42:04.405000|2015/06/02T13:42:04.405000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:42:33.314000|2015/06/02T13:42:33.314000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:47:36.769000|2015/06/02T13:47:36.781000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:42:46.385000|2015/06/02T13:42:46.385000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:42:46.885000|2015/06/02T13:42:46.885000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:47:50.871000|2015/06/02T13:47:50.882000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:47:50.966000|2015/06/02T13:47:50.976000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:47:57.971000|2015/06/02T13:47:57.982000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:42:54.439000|2015/06/02T13:42:54.439000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:43:05.402000|2015/06/02T13:43:05.402000|
     10.0.40.53|192.168.121.158|           8|            368|2015/06/02T13:48:10.387000|2015/06/02T13:48:10.399000|
     10.0.40.20| 192.168.121.57|          13|           1598|2015/06/02T13:48:14.455000|2015/06/02T13:48:14.557000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:48:14.557000|2015/06/02T13:48:14.557000|
     10.0.40.20| 192.168.121.57|           7|           3164|2015/06/02T13:48:14.566000|2015/06/02T13:48:14.576000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:48:14.576000|2015/06/02T13:48:14.576000|
     10.0.40.20| 192.168.121.57|           9|            650|2015/06/02T13:48:14.574000|2015/06/02T13:48:14.586000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:48:14.586000|2015/06/02T13:48:14.586000|
     10.0.40.20| 192.168.121.57|          18|          14180|2015/06/02T13:48:14.412000|2015/06/02T13:48:15.085000|
     10.0.40.20| 192.168.121.57|           2|             80|2015/06/02T13:48:15.085000|2015/06/02T13:48:15.085000|
     10.0.40.20| 192.168.121.57|          10|            896|2015/06/02T13:48:13.990000|2015/06/02T13:48:25.942000|
     10.0.40.20| 192.168.121.57|          18|           3336|2015/06/02T13:48:14.479000|2015/06/02T13:48:27.397000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:43:33.831000|2015/06/02T13:43:33.831000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:48:36.782000|2015/06/02T13:48:36.795000|
     10.0.40.20| 192.168.121.57|          18|           2990|2015/06/02T13:48:14.002000|2015/06/02T13:48:45.941000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:48:51.367000|2015/06/02T13:48:51.380000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:43:47.382000|2015/06/02T13:43:47.382000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:43:47.883000|2015/06/02T13:43:47.883000|
  192.168.40.20| 192.168.121.57|          25|           4922|2015/06/02T13:48:14.507000|2015/06/02T13:48:51.414000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:48:51.867000|2015/06/02T13:48:51.877000|
     10.0.40.53|192.168.121.244|           9|            408|2015/06/02T13:48:58.434000|2015/06/02T13:48:58.449000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:43:55.431000|2015/06/02T13:43:55.431000|
     10.0.40.53|192.168.121.158|           1|             40|2015/06/02T13:44:06.467000|2015/06/02T13:44:06.467000|
     10.0.40.53|192.168.121.158|           9|            408|2015/06/02T13:49:11.397000|2015/06/02T13:49:11.409000|
     10.0.40.20|192.168.121.244|          17|           6592|2015/06/02T13:49:18.809000|2015/06/02T13:49:18.857000|
     10.0.40.20|192.168.121.244|           1|             40|2015/06/02T13:49:18.857000|2015/06/02T13:49:18.857000|
     10.0.40.20| 192.168.121.77|          17|           6592|2015/06/02T13:49:21.820000|2015/06/02T13:49:21.867000|
     10.0.40.20| 192.168.121.77|           1|             40|2015/06/02T13:49:21.867000|2015/06/02T13:49:21.867000|
     10.0.40.53|192.168.121.145|           9|            408|2015/06/02T13:49:37.778000|2015/06/02T13:49:37.789000|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:44:34.790000|2015/06/02T13:44:34.790000|
     10.0.40.53| 192.168.121.57|           9|            408|2015/06/02T13:49:52.364000|2015/06/02T13:49:52.376000|
     10.0.40.53| 192.168.121.77|           9|            408|2015/06/02T13:49:52.863000|2015/06/02T13:49:52.873000|
     10.0.40.53| 192.168.121.57|           2|             80|2015/06/02T13:44:48.376000|2015/06/02T13:44:48.378000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:44:48.878000|2015/06/02T13:44:48.878000|
     10.0.40.53|192.168.121.244|           1|             40|2015/06/02T13:44:55.444000|2015/06/02T13:44:55.444000|
     10.0.40.20| 192.168.121.57|          13|           1714|2015/06/02T13:49:59.059000|2015/06/02T13:49:59.104000|
     10.0.40.20| 192.168.121.57|           1|             40|2015/06/02T13:49:59.104000|2015/06/02T13:49:59.104000|
     10.0.40.53|192.168.121.244|           8|            368|2015/06/02T13:49:59.431000|2015/06/02T13:49:59.440000|
